index	name	genres	rating	type	stars	details	box_office	tech_specs
91.	Wine reflection	Comedy, Drama	Null	Null	Zura Kipshidze, Jean Noel Martin, Antoine Roux	Official Sites: website\nCountry: Russia\nLanguage: English | Italian | French	Null	Color: Color
92.	Leonid & Friends: Vehicle	Short, Music	Null	Video	Leonid Vorobyev, Vasily Akimov, Igor Javad-Zade	Country: Russia\nLanguage: English	Null	Runtime: 3 min\nColor: Color
93.	Черный снег	Drama	Null	Feature Film	Null	Official Sites: Official site [China]\nCountry: Russia\nLanguage: Yakut\nRelease Date: 2020 (Russia) \nAlso Known As: Черный снег 	Null	Color: Color
94.	Vetki	Comedy, Horror, Thriller	Null	Feature Film	Anna Sitnikova, Alexandra Desyatkova, Valeria Gorbacheva	Country: Russia\nLanguage: Russian\nRelease Date: 13 November 2020 (Russia) \nAlso Known As: Ветки 	Budget:$5,000 (estimated)	Color: Color\nAspect Ratio: 1.85 : 1
95.	Опасный соблазн	Crime, Thriller	Null	Feature Film	Stas Erdley, Mariya Gorban, Anatoliy Kot	Country: Russia\nLanguage: Russian\nRelease Date: November 2020 (Russia) \nAlso Known As: Опасный соблазн \nFilming Locations: Moscow, Russia	Null	Color: Color
96.	Little Big: S*ck My D*ck 2020	Short, Music	Null	Feature Film	Finch Asozial, Little Big, Carnage	Country: Russia\nLanguage: Russian\nRelease Date: 6 November 2020 (Russia) 	Null	Runtime: 3 min\nColor: Color
97.	От печали до радости	Comedy, Romance	5.8	Feature Film	Aleksandr Chernyavskiy, Fyodor Dobronravov, Ivan Dobronravov	Country: Russia\nLanguage: Russian\nRelease Date: 5 November 2020 (Russia) \nAlso Known As: От печали до радости 	Null	Runtime: 94 min\nColor: Color\nAspect Ratio: 2.35 : 1
98.	Маленький воин	Family	Null	Feature Film	Artyom Bystrov, Maksim Lagashkin, Mariya Lobanova	Official Sites: Famous edition published the premiere of the film\nCountry: Russia\nLanguage: Russian Sign Language\nRelease Date: September 2020 (Russia) \nAlso Known As: Маленький воин 	Budget:RUR40,000,000 (estimated)	Null
99.	Презумпция виновности	Crime	Null	Feature Film	Null	Official Sites: Official site [China]\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) \nAlso Known As: The Presumption of Guilt 	Null	Color: Color
100.	Земля Эльзы	Drama, Romance	Null	Feature Film	Irina Pechernikova, Venyamin Smekhov, Anna Ukolova	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 15 September 2020 (Russia) \nAlso Known As: Земля Эльзы 	Null	Color: Color
101.	Плохая дочь	Drama	Null	Feature Film	Evgeniy Mironov, Tatyana Dogileva, Natalya Pavlenkova	Country: Russia\nLanguage: Russian\nRelease Date: 13 September 2020 (Russia) \nAlso Known As: Плохая дочь 	Null	Color: Color
102.	Jumper. Treasure Hunting 3D	Animation	Null	Feature Film	Null	Official Sites: distributor's official website\nCountry: Kazakhstan | Russia\nLanguage: Russian\nRelease Date: 17 September 2020 (Russia) \nAlso Known As: Hangyás kincskeresés 	Null	Runtime: 72 min\nColor: Color
103.	The Secrets of Honey Hills	Animation, Adventure	Null	TV Series	Null	Country: Russia\nLanguage: Russian\nRelease Date: 19 September 2020 (Russia) 	Null	Runtime: 7 min\nColor: Color
104.	Русская кибердеревня	Short, Comedy, Music	8.2	Feature Film	Sergey Chikhachyov, Olga Zhevakina, Carolina Granovskaya	Country: Russia\nLanguage: English | Russian\nRelease Date: 19 November 2020 (Russia) \nAlso Known As: Русская кибердеревня \nFilming Locations: Russia	Null	Runtime: 4 min\nColor: Color
105.	Zovi menya mamoy	Drama, Romance	Null	TV Series	Aleksey Barabash, Artyom Fadeev, Grigory Melikbekyan	Country: Russia\nLanguage: Russian\nRelease Date: 26 October 2020 (Russia) 	Null	Color: Color
106.	Miyagi & Andy Panda: Yamakasi	Short, Music	Null	Feature Film	MiyaGi, Andy Panda	Country: Russia\nLanguage: Russian\nRelease Date: 13 November 2020 (Russia) 	Null	Runtime: 6 min\nColor: Color
107.	Meteorite	Horror, Thriller	4.1	Feature Film	Oleg Blohin, Tanya Goncharova, Michael Koshin	Country: Russia\nLanguage: Russian\nRelease Date: 21 October 2020 (Russia) 	Budget:$100,000 (estimated)	Runtime: 95 min\nColor: Color
108.	Sokrovenny Chelovek	Null	Null	Feature Film	Null	Country: Russia\nRelease Date: 5 November 2020 (Russia) 	Cumulative Worldwide Gross: $5,889	Null
109.	Blick. Nachalo	Drama	Null	Feature Film	Null	Official Sites: Official site [Russia]\nCountry: Russia\nLanguage: Russian\nRelease Date: 2020 (Russia) 	Null	Color: Color
110.	На дальних рубежах	Drama	5.6	Feature Film	Null	Country: Russia\nRelease Date: 4 October 2020 (Russia) \nAlso Known As: На дальних рубежах 	Null	Null
